,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
84,84,,,[친남매] 알라딘 A Whole New World 따라잡기 ^!^ ,Pokémon Omega Ruby and Pokémon Alpha Sapphire Animated Trailer ,,,
85,85,,,전소미 VS 땡깡 (DUMB DUMB) ,고수 못 먹는 분들을 위한 헌정 영상 ,,,
86,86,,,전소미님 만난 날 ,%EC%BD%A9%EB%8B%A5%EC%BD%A9%EB%8B%A5(%EC%8B%AC%EC%9E%A5%EC%86%8C%EB%A6%AC+%EC%9E%85%EC%86%8C%EB%A6%AC)%EB%8F%99%EC%8B... ,,,
87,87,,,여왕국 (Queendom) ,속보 아베 결국 정계은퇴? 충격적인 일본인들 반응 // 아베 끝나나 ,,,
88,88,,,곰 앞에서 죽은척을 하면? ,희 ,,,
89,89,,,스테이씨 띵곡 메들리 (ASAP + SO BAD) ,반 ,,,
90,90,,,[땡깡의 커튼콜] 스테이씨 X 땡깡 (색안경) ,'인간의 본능' 때문에 한국에서 아이를 낳지 않는다? 수도권 집중과 저출생 문제의 관계/스브스뉴스 ,,,
91,91,,,📸 카메라 무빙.zip ,ASMR ,,,
92,92,,,[4K] 에스파 “넥스트 레벨” 풀커버 🖤🐍🔫 (aespa “NEXT LEVEL” full ver.) ,트리거 ,,,
93,93,,,Next Level 🖤🐍🔫 ,방글라데시 ,,,
94,94,,,[MBTI 일상툰] 유형별 돈 빌려달라고 했을 때 반응 ,한우 ,,,
95,95,,,[오리지널] Ep_11 mbti별 카톡방 유형 ,수술 ,,,
96,96,,,[MBTI 일상툰] MBTI 유형별 청소할 때 ,마이크 ,,,
97,97,,,[MBTI 유형별 사랑] 엔티제 (ENTJ) 편 ,파이썬 ,,,
98,98,,,MBTI 유형별 특징 공감7 ,메이크업 ,,,
99,99,,,MBTI별 진짜 화났을 때 모습 [SOM] ,탭핑 ,,,
100,100,,,한국에는 사실상 아무도 없다는 MBTI 성격유형 TOP3 ,입소리 ,,,
101,101,,,entj공감 ,롤플레이 ,,,
